plugin,date,total_downloads,downloads_day,downloads_7d,downloads_30d
tap-mysql,2021-07-08,178499,0,780,3478
tap-outbrain,2021-07-08,40980,0,130,566
tap-toggl,2021-07-08,12752,0,91,459
tap-autodesk-bim-360,2021-07-08,818,0,14,67
tap-awin,2021-07-08,12535,0,52,219
tap-trello,2021-07-08,2195,0,34,108
tap-bold,2021-07-08,3915,0,46,186
target-postgres,2021-07-08,40282,0,167,446
tap-hubplanner,2021-07-08,7337,0,58,204
tap-toast,2021-07-08,2625,0,19,75
tap-facebook,2021-07-08,111120,0,558,2564
target-parquet,2021-07-08,2205,0,16,77
tap-fullstory,2021-07-08,13604,0,62,252
tap-taboola,2021-07-08,13392,0,47,179
tap-harvest,2021-07-08,68352,0,322,1167
tap-recurly,2021-07-08,5099,0,33,129
tap-dbt,2021-07-08,1531,0,178,763
tap-google-search-console,2021-07-08,9556,0,143,630
tap-closeio,2021-07-08,92247,0,293,1237
tap-webcrm,2021-07-08,2973,0,27,104
tap-yotpo,2021-07-08,9850,0,79,433
tap-google-analytics,2021-07-08,12763,0,170,678
tap-procore,2021-07-08,493,0,30,127
tap-trustpilot,2021-07-08,3371,0,24,97
tap-bronto,2021-07-08,17627,0,81,323
tap-adwords,2021-07-08,189804,0,571,2637
tap-invoiced,2021-07-08,1828,0,14,48
tap-recharge,2021-07-08,4564,0,55,234
tap-impact,2021-07-08,4420,0,44,176
tap-pepperjam,2021-07-08,4366,0,50,210
tap-twilio,2021-07-08,5750,0,15,64
tap-referral-saasquatch,2021-07-08,71407,0,208,847
tap-lookml,2021-07-08,1628,0,22,101
tap-logmeinrescue,2021-07-08,15129,0,77,281
tap-powerbi-metadata,2021-07-08,5619,0,209,1033
tap-mavenlink,2021-07-08,3273,0,28,109
tap-looker,2021-07-08,3264,0,37,155
tap-dayforce,2021-07-08,9902,0,109,448
tap-sendgrid,2021-07-08,11174,0,56,208
tap-pendo,2021-07-08,6053,0,173,764
tap-twitter-ads,2021-07-08,3110,0,48,211
tap-pipedrive,2021-07-08,44680,0,214,892
tap-okta,2021-07-08,2692,0,0,0
tap-fixerio,2021-07-08,8374,0,29,127
tap-linkedin-ads,2021-07-08,9555,0,139,602
tap-exchangeratehost,2021-07-08,946,0,47,167
tap-ordway,2021-07-08,1319,0,68,370
tap-campaign-monitor,2021-07-08,11315,0,59,217
tap-quickbase,2021-07-08,25747,0,123,458
tap-db2,2021-07-08,23267,0,95,361
target-azureblobstorage,2021-07-08,1338,0,11,45
target-bigquery,2021-07-08,19031,0,189,843
tap-holidays,2021-07-08,7083,0,62,269
tap-auth0,2021-07-08,889,0,13,43
tap-bing-ads,2021-07-08,45991,0,267,1108
tap-mongodb,2021-07-08,127289,0,214,2318
tap-typo,2021-07-08,2855,0,28,105
tap-intercom,2021-07-08,13827,0,132,589
target-datadotworld,2021-07-08,16894,0,70,270
tap-pagerduty,2021-07-08,6595,0,63,267
tap-eloqua,2021-07-08,30280,0,199,775
tap-klaviyo,2021-07-08,14839,0,80,354
tap-clubhouse,2021-07-08,5635,0,17,73
tap-square,2021-07-08,8104,0,152,752
tap-shopify,2021-07-08,73508,0,563,2235
target-snowflake,2021-07-08,9862,0,107,417
tap-platformpurple,2021-07-08,21304,0,90,307
tap-redshift,2021-07-08,24481,0,93,408
tap-facebook-reviews,2021-07-08,2503,0,10,41
tap-zendesk,2021-07-08,60063,0,296,1277
tap-braintree,2021-07-08,53236,0,227,929
tap-helpscout,2021-07-08,6857,0,68,234
tap-fulfil,2021-07-08,12426,0,60,228
tap-woocommerce,2021-07-08,5916,0,25,115
tap-mailchimp,2021-07-08,10805,0,150,535
tap-deputy,2021-07-08,3685,0,41,134
tap-kustomer,2021-07-08,4311,0,68,261
tap-facebook-posts,2021-07-08,11988,0,53,214
tap-s3-csv,2021-07-08,24847,0,304,988
target-redshift,2021-07-08,36112,0,249,1018
target-csv,2021-07-08,71162,0,882,3770
tap-youtube-analytics,2021-07-08,606,0,17,81
tap-bigquery,2021-07-08,17309,0,277,1134
tap-insided,2021-07-08,1180,0,24,115
tap-google-sheets,2021-07-08,9501,0,182,652
tap-mambu,2021-07-08,13885,0,247,1023
tap-reviewscouk,2021-07-08,6645,0,28,110
tap-marketo,2021-07-08,154074,0,549,2295
tap-responsys,2021-07-08,8028,0,41,162
tap-ebay,2021-07-08,544,0,14,68
tap-chargify,2021-07-08,12464,0,137,570
tap-circle-ci,2021-07-08,2499,0,25,110
target-sqlite,2021-07-08,1356,0,104,173
tap-selligent,2021-07-08,7279,0,21,79
tap-urban-airship,2021-07-08,38538,0,123,493
tap-oracle,2021-07-08,45269,0,225,899
tap-hubspot,2021-07-08,217446,0,776,3335
tap-github,2021-07-08,66003,0,366,1607
tap-mailshake,2021-07-08,5063,0,72,305
tap-pivotal-tracker,2021-07-08,5586,0,55,234
tap-purecloud,2021-07-08,9703,0,48,179
tap-codat,2021-07-08,15480,0,77,297
tap-harvest-forecast,2021-07-08,7378,0,66,333
tap-saasoptics,2021-07-08,4311,0,41,169
tap-clubspeed,2021-07-08,35801,0,157,596
tap-nikabot,2021-07-08,4810,0,105,434
tap-gitlab,2021-07-08,51746,0,145,616
tap-appsflyer,2021-07-08,19757,0,88,338
tap-ringcentral,2021-07-08,3214,0,156,235
tap-ujet,2021-07-08,3824,0,42,161
tap-ilevel,2021-07-08,2987,0,81,338
target-gsheet,2021-07-08,18624,0,58,260
tap-frontapp,2021-07-08,10513,0,66,267
tap-salesforce,2021-07-08,110468,0,534,2159
tap-intacct,2021-07-08,5532,0,36,151
tap-typeform,2021-07-08,14143,0,93,366
tap-3plcentral,2021-07-08,5693,0,77,253
tap-amazon-mws,2021-07-08,1307,0,12,41
tap-strava,2021-07-08,1798,0,16,70
tap-adroll,2021-07-08,1350,0,17,74
target-jsonl,2021-07-08,41686,0,878,3922
tap-ms-teams,2021-07-08,1236,0,30,143
tap-exacttarget,2021-07-08,58351,0,260,1039
tap-zoom,2021-07-08,8554,0,60,307
tap-slack,2021-07-08,8911,0,175,345
tap-mixpanel,2021-07-08,33253,0,139,573
tap-teamwork,2021-07-08,2182,0,110,477
tap-freshdesk,2021-07-08,77510,0,235,1037
tap-postgres,2021-07-08,124641,0,1028,4631
tap-uservoice,2021-07-08,16598,0,88,321
tap-crossbeam,2021-07-08,1197,0,134,385
tap-asana,2021-07-08,7817,0,84,388
tap-bls,2021-07-08,2502,0,51,237
tap-zuora,2021-07-08,79043,0,318,1310
target-magentobi,2021-07-08,3285,0,11,42
target-stitch,2021-07-08,160334,0,870,3374
tap-liveperson,2021-07-08,9035,0,75,264
tap-clockify,2021-07-08,2589,0,38,160
tap-quickbooks,2021-07-08,5125,0,136,581
tap-chargebee,2021-07-08,10222,0,157,908
tap-snapchat-ads,2021-07-08,1155,0,25,108
tap-zendesk-chat,2021-07-08,32715,0,175,706
tap-pardot,2021-07-08,14579,0,197,1305
tap-stripe,2021-07-08,35422,0,277,1153
tap-twitter,2021-07-08,26847,0,117,405
tap-onfleet,2021-07-08,2547,0,19,76
tap-criteo,2021-07-08,4525,0,28,122
tap-activecampaign,2021-07-08,9410,0,44,197
tap-exchangeratesapi,2021-07-08,53766,0,627,2550
tap-autopilot,2021-07-08,9927,0,45,181
tap-jira,2021-07-08,46212,0,239,1114
tap-amazon-ads-dsp,2021-07-08,4674,0,73,308
tap-listrak,2021-07-08,25042,0,142,486
tap-revinate,2021-07-08,2013,0,12,42
tap-bigcommerce,2021-07-08,14239,0,159,803
tap-outreach,2021-07-08,3525,0,82,505
tap-lever,2021-07-08,11082,0,108,399
tap-wonolo,2021-07-08,8564,0,86,339
tap-xero,2021-07-08,75462,0,356,1462
tap-emarsys,2021-07-08,12511,0,61,230
tap-workday-raas,2021-07-08,2768,0,32,137
tap-dynamodb,2021-07-08,8776,0,87,366
tap-iterable,2021-07-08,3151,0,28,104
